Index,German,English
4579,"beitragen, trug bei, beigetragen",to contribute
4580,belasten,"to put weight on, to load, to burden"
4581,belegen,to attend (a course)
4582,berechnen,to calculate
4583,berücksichtigen,to take into consideration
4584,beruhigen,to calm
4585,beschränken,to restrict; to limit; to confine
4586,"betreten, betrat, betreten","to set foot in, to tread in"
4587,beurteilen,"to assess, judge"
4588,bevorzugen,to prefer
4589,"binden, band, gebunden","to tie, to bind"
4590,biologisch,biological
4591,bisherig,previous
4592,bislang,"up to now, currently"
4593,"brennen, brannte, gebrannt",to burn
4594,britisch,british
4595,chemisch,chemical
4596,christlich,christian
4597,dahin,there /in there
4598,dahinter,behind it / behind that
4599,damalig,at that time / then
4600,daneben,beside it (there)
4601,"das amt, -""er",the office (usually govt.)
4602,"das band, -""er","the ribbon, strap, tape, wavelength"
4603,"das bedürfnis, -se","the need, the necessity"
4604,das bewusstsein,the consciousness (no plural)
4605,"das bürgerliche gesetzbuch, (bgb)",the [german] civil code book (no plural)
4606,"das detail, -s",the detail
4607,drittel,third
4608,"das gehirn, -e",the brain
4609,"das gut, -""er","the estate (with buildings), [goods, commodities (pl only)]"
4610,"das kilogramm, -",the kilogram
4611,"das kriterium, die kriterien",the criterion
4612,"das lager, -","the warehouse, depot"
4613,das leid,"the sorrow, distress  (no plural),"
4614,"das management, -s",the management
4615,"das material, -ien",the material
4616,"das merkmal, -e","the feature, the characteristic"
4617,"das niveau, -s",the level
4618,"das objekt, -e",the object
4619,"das opfer, -",the victim
4620,"das phänomen, -e",the phenomenon
4621,"der russe, -n, -n",the russian (man)
4622,"die russin, -nen",the russian (woman)
4623,"das schicksal, -e","the fate, destiny"
4624,"das team, -s",the team
4625,entwickeln,to develop
4626,"das urteil, -e","the judgment, verdict"
4627,"das verständnis, -se",the understanding; the comprehension
4628,das wachstum,the growth (no plural)
4629,"das zeichen, -","the sign, signal, symbol"
4630,definieren,to define
4631,"der ablauf, -""e","the process, the expiry; the run off (drainage point)"
4632,"der abschluss, -""e","the conclusion, the certificate/diploma (coll.)"
4633,"der abschnitt, -e","1. counterfoil/stub; 2. phase, period; 3. section, segment"
4634,"der abstand, -""e","the spacing, distance"
4635,"der alltag, -e","the working day, the ordinary day"
4636,"der anbieter, -",the supplier
4637,"der angriff, -e",the assault or attack
4638,"der anlass, -""e","the reason, occasion, grounds"
4639,"der anschlag, -""e","the strike (either a physical attack, or like a piano stroke)"
4640,"der anschluss, -""e",the connection
4641,"der antrag, -""e","the proposal, parliamentary motion, or application (e.g., for a grant)"
4642,"der anspruch, -""e","the claim, the right (to sth)"
4643,"der aufbau, -ten","the structure,  construction"
4644,"der auftritt, -e",the appearance (on stage)
4645,aufwärts,upwards
4646,"der ausdruck, -""e","the expression, turn of phrase"
4647,"der band, -""e","the volume (of a book, journal etc)"
4648,"der bau, -ten","the building, construction"
4649,"der betrag, -""e","the amount, the sum (numeric, abstract)"
4650,"der beweis, -e",the proof
4651,"der bezug, -e",the reference (1); the pillowcase or duvet cover (2)
4652,"der bürgermeister, -",the mayor
4653,"der effekt, -e",the effect
4654,"der faktor, -en, -en",the factor
4655,"der forscher, -",the researcher
4656,"der gegner, -","the enemy, the opponent"
4657,"der geist, -er",the ghost
4658,"der gesellschafter, -",the business associate/partner
4659,"der gewinn, -e","the gain, profits, return"
4660,der handel,"the trade, bargain, commerce, business (no plural)"
4661,"der hersteller, -",the manufacturer
4662,"der hinweis, -e","the tip, hint, clue"
4663,"die filiale, -n",the branch (of a store or office)
4664,jedoch,however
4665,jeweils,at the time; each time
4666,"der kandidat, -en, -en",the candidate
4667,"der kauf, -""e",the purchase
4668,"der konzern, -e",the concern
4669,"der lauf, -""e",the course (as in a route)
4670,lebendig,"alive, living, vivid"
4671,der leser,the reader
4672,"der magen, - """,the stomach (organ)
4673,"der manager, -",the manager
4674,"der mangel, -""","the lack, the defect, the flaw"
4675,"die mahlzeit, -en",the mealtime; meal
4676,"der millimeter, -",the millimetre
4677,"die minderheit, -en",the minority
4678,"das nahrungsmittel, -","nutrient, food"
4679,"der pc, -s",the pc
4680,"der pfarrer, -","the vicar, the minister"
4681,der rest,the remainder (no plural)
4682,"der schaden, -""",the damage; loss; injury
4683,"der schluss, -""e",the end
4684,"der schriftsteller, -",the writer
4685,"der schutz, -e",the protection
4686,"der schwerpunkt, -e",the main emphasis
4687,"der spieler, -",the player
4688,"der sprecher, -",the speaker
4689,"der standort, -e",the site
4690,"der start, -s",the start
4691,"der studiengang, -""e",the course of study
4692,"der teilnehmer, -",the participant
4693,der terror,terror (no plural)
4694,der terrorismus,terrorism (no plural)
4695,"der terrorist, -en, -en",the terrorist
4696,"der test, -s",the test (2)
4697,"der trainer, -",the coach (athletic)
4698,"der umfang, -""e","the extent, the dimension (e.g. of a problem)"
4699,"der umgang, -""e",one's dealings with others; association (with others); gallery (arch.); procession
4700,"der umsatz, -""e",the turnover
4701,"der verband, -""e",1. the association; 2. the bandage
4702,"der verdacht, -""e",the suspicion
4703,"der verein, -e","the club, society, association"
4704,"der verlag, -e",the publishing house
4705,"der verlust, -e",the loss
4706,"der vertreter, -",the representative
4707,"der vorgang, -""e",the process
4708,"der vorsitzende, -n",the chairperson
4709,"der vorwurf, -""e",the reproach; accusation
4710,"der wechsel, -",the switch (as in change)
4711,"der widerstand, -""e",the resistance
4712,der wille,"the will, wish, intention (no plural)"
4713,"der wind, -e",the wind
4714,"der wissenschaftler, -",the academic
4715,"der zeitraum, -""e",the period of time
4716,"der zentimeter, -",the centimetre
4717,"der zugang, -""e",the access
4718,"der zweck, -e",the purpose
4719,"der zweifel, -",the doubt
4720,derartig,such
4721,"derjenige, diejenige, dasjenige","the one who or the one that (masc, fem, neut)"
4722,deuten,to indicate; interpret
4723,dicht,dense
4724,"die aktie, -n",the share (finance)
4725,"die aktiengesellschaft, -en",the public limited company; esp. stock corporation
4726,"die aktion, -en",the action
4727,"die aktivität, -en",the activity
4728,"die alternative, -n",the alternative
4729,"die analyse, -n",the analysis
4730,"die änderung, -en","the change, alteration, amendment"
4731,"die anforderung, -en","the demand, request, requirement"
4732,"die anlage, -n",the facility (plant); usu. hi-fi
4733,"die ansicht, -en","the opinion, view"
4734,die anzahl,number (no plural)
4735,"die atmosphäre, -n",the atmosphere (lit. & fig)
4736,"die aufnahme, -n","1.photograph/picture; 2. intake (food, pills)"
4737,"die auseinandersetzung, -en",the confrontation
4738,"die ausgabe, -n","1. the handing-out, issue, or edition (of something) 2. distribution (of money)"
4739,"die auswirkung, -en","the effect, consequence"
4740,"die basis, die basen",the basis
4741,"die behörde, -n","the authority, department"
4742,"die belastung, -en",the burden
4743,"die bestimmung, -en",the regulation; purpose
4744,"die bitte, -n",the request
4745,"die botschaft, -en","the message, the embassy"
4746,"die branche, -n","the branch, the sector"
4747,"die bundesregierung, -en",the federal government
4748,"die darstellung, -en","the depiction, portrayal; performance (theat.)"
4749,die dauer,the duration (no plural)
4750,"die debatte, -n",the debate
4751,"die definition, -en",the definition
4752,"die dimension, -en",the dimension
4753,"die einführung, -en",the introduction
4754,"die einnahme, -n",the takings/earnings
4755,"die einrichtung, -en",1. the fittings/furnishings; the installation; 2. the establishment; institution
4756,"die einstellung, -en",the attitude (1)
4757,"die erkenntnis, -se","the insight, realisation"
4758,"die erkrankung, -en",the illness (1)
4759,"die erwartung, -en",the expectation; anticipation
4760,"die fähigkeit, -en",the ability; the skill
4761,"die fläche, -n","the area, the expanse, the surface"
4762,"die förderung, -en",the support (1)
4763,"die formel, -n",the formula
4764,"die forschung, -en",the research
4765,"die gemeinschaft, -en",the community; association
4766,"die haltung, -en",the attitude (2); the posture
4767,"die haut, -""e",the skin
4768,"die hinsicht, -en",the respect (as in aspect); the regard
4769,"die industrie, -n",the industry
4770,"die institution, -en",the institution
4771,"die investition, -en",the investment
4772,"die koalition, -en",the coalition
4773,"die kombination, -en",the combination
4774,"die kommission, -en",the commission (committee or task)
4775,"die kommunikation, -en",the communication
4776,"die konkurrenz, -en",the competition/competitors
4777,"die konsequenz, -en",the consequence (2)
4778,"die kontrolle, -n","the inspection, the check, the control"
4779,die landwirtschaft,"agriculture, farming (no pl)"
4780,"die länge, -n",the length (distance & time)
4781,"die mama, -s",the mum
4782,"die mannschaft, -en",the team
4783,"die masse, -n","the crowd, mass, majority"
4784,"die medizin, -en",medicine (drug or field)
4785,die mehrheit,the majority (no plural)
4786,die mithilfe,"the assistance, help (no plural)"
4787,"die mühe, -n","the effort, the trouble"
4788,"die nachfrage, -n","the enquiry, request, demand (as in supply)"
4789,"die nation, -en",the nation
4790,"die nutzung, -en",the use
4791,die öffentlichkeit,the [general] public (no plural)
4792,"die perspektive, -n",the perspective
4793,"die pflicht, -en","the duty, the responsibility"
4794,"die phase, -n",the phase
4795,"die planung, -en",the planning
4796,"die quelle, -n",the source
4797,"die realität, -en",the reality
4798,"die saison, -s",the season
4799,"die sicht, -en",the view
4800,"die software, -s",the software
4801,"die sorge, -n",the worry
4802,"die spitze, -n",the lace (fabric); the tip/point
4803,"die spur, -en",the track; trace (detection); lane (traffic)
4804,"die stärke, -n","the strength, the starch"
4805,"die steuer, -n",the tax
4806,"die störung, -en",the disturbance/interruption
4807,"die strategie, -n",the strategy
4808,"die strecke, -n",the distance; the stretch (of a distance)
4809,"die studie, -n",the survey/study
4810,"die suche, -n",the search
4811,"die summe, -n",the sum
4812,"die tat, -en",the act / the crime
4813,"die tatsache, -n",the fact
4814,"die theorie, -n",the theory
4815,"die tradition, -en",the tradition
4816,"die überlegung, -en",the thought; consideration
4817,"die umgebung, -en","the surroundings, vicinity, neighbourhood, environment (general)"
4818,"die union, -en",the union
4819,"die unterstützung, -en",the support (2)  / [spec. the state benefit]
4820,"die ursache, -n",the reason; cause
4821,"die verhandlung, -en",the negotiation; trial; conference
4822,"die verletzung, -en",the injury
4823,"die verwaltung, -en",the administration; management
4824,"die verwendung, -en","the usage, use, appropriation"
4825,"die vorschrift, -en",(admin) the instruction; regulation
4826,"die waffe, -n",the weapon
4827,drängen,"1. to push, shove, jostle; 2. to insist"
4828,drüben,over there
4829,durchsetzen,to put across; to get through
4830,eindeutig,clear; unambiguous
4831,einerseits... andererseits,on the one hand... on the other hand
4832,einführen,to bring in; to import
4833,"einnehmen, nahm ein, eingenommen",1. to take (medicine/food); 2. to collect
4834,einrichten,"to establish, arrange, furnish, install"
4835,einschränken,"to curtail, cut back, reduce,"
4836,einst,at one time; once
4837,"eintragen, trug ein, eingetragen","to register, record, enter (info)"
4838,"eintreten, trat ein, eingetreten",to enter; to enter into
4839,elektronisch,electronic
4840,"empfinden, empfand, empfunden","to feel, experience (when doing something)"
4841,empirisch,empirical
4842,endgültig,"final(ly), definite(ly)"
4843,entfernen,to remove (sth)
4844,entschuldigen,to apologise
4845,entsprechend,"appropriate, corresponding (adj); in accordance with (prep)"
4846,erfordern,to require
4847,"erheben, erhob, erhoben",to raise
4848,erheblich,significant; considerable
4849,erläutern,to explain further; clarify
4850,erledigen,1. to sort sth out; get sth done; 2. to be worn out
4851,erleichtern,to relieve
4852,ermitteln,to investigate
4853,eröffnen,"to open, start, disclose"
4854,erschrecken,"to startle, to alarm, to shock"
4855,erstmals,for the first time
4856,erweisen,1. to turn out; 2. to prove sth
4857,erweitern,to expand
4858,"erwerben, erwarb, erworben",to acquire
4859,erzeugen,to engender; to produce
4860,erzielen,"to achieve, reach, obtain"
4861,eventuell,"possibly, by chance"
4862,exakt,exact
4863,existieren,to exist
4864,extrem,extreme
4865,falls,"if, in the case [that . . .]"
4866,fassen,to grasp
4867,"festhalten, hielt fest, festgehalten","to seize, to adhere, cling to, hold on tight"
4868,festlegen,to determine
4869,formulieren,to formulate
4870,fortsetzen,to continue (1)
4871,ja freilich!,certainly! (southern germany)
4872,freiwillig,voluntary
4873,fügen,to add
4874,fürchten,to fear
4875,gefährden,to endanger
4876,gegen den terrorismus,against terrorism
4877,gegenseitig,mutual
4878,gegenwärtig,present / presently
4879,geistig,intellectual
4880,gelangen,to reach (somewhere) to attain/achieve
4881,gelegentlich,occasionally
4882,gemäß,according to
4883,geographisch,geographic
4884,"geraten, geriet, geraten",to turn out; end up (+sein)
4885,gesetzlich,legal
4886,gestalten,"to design, shape, model"
4887,gesundheit!,bless you! (after a sneeze)
4888,gewaltig,enormous; tremendous; powerful
4889,gewohnt,usual /usually (2)
4890,global,global
4891,grundlegend,"fundamental, basic"
4892,hauptsächlich,"mainly, principally, essentially"
4893,heraus,out
4894,herrschen,to rule
4895,hinauf,up
4896,hingegen,whereas
4897,"hingehen, ging hin, hingegangen",to go (there)
4898,hinsichtlich,with regard/respect to [+ gen]
4899,im bezug auf,in relation to
4900,im laufe,in the course
4901,in der öffentlichkeit,publicly
